name,url,error_orig,type_error_orig,error_app,type_error_app,pdfs,pdf_avec_criteres
Financer la préservation du patrimoine naturel,/aides/9c6e-aider-au-financement-du-patrimoine-naturel/,False,url not starting with http,False,url not starting with http,[],False
Réaliser la rénovation énergétique de mon logement principal,/aides/6a87-realiser-la-renovation-energetique-de-mon-log/,True,,False,url changed to https://www.toulouse-metropole.fr/-/aide-a-la-renovation-energetique-des-logements-prives,[],False
Apporter une aide directe aux entreprises,/aides/ced5-aides-directes-aux-entreprises/,False,url not starting with http,False,url not starting with http,[],False
Financer l'investissement productif,/aides/2910-aides-a-linvestissement-productif/,True,,False,url not starting with http,"['http://ccv2m.fr/wp-content/uploads/2015/05/AET_reglement.pdf', 'http://ccv2m.fr/wp-content/uploads/2015/05/diagnostic_agricole_foncier.pdf', 'http://ccv2m.fr/wp-content/uploads/2019/12/tableau-V2M.pdf', 'http://ccv2m.fr/wp-content/uploads/2021/05/Reglement-interieur-CCV2M-1.pdf']",True
Investir dans l'immobilier d'entreprises,/aides/2faa-investir-dans-limmobilier-dentreprises/,False,url not starting with http,False,url not starting with http,[],False
Promouvoir les circuits courts qualitatifs,/aides/6697-circuit-courts-qualitatifs/,False,url changed to https://www.paysvichyauvergne.com/contenu/fck/Vichy_FA1_Ville-Campagne_VF_15%20juin%202016(2).pdf,False,url not starting with http,[],False
ECO Pulse Investissement,/aides/509b-eco-pulse-investissement/,False,Status 404,False,Status 404,[],False
Soutenir l'investissement en immobilier des entreprises dans le cadre d'une création ou extension d'activité,/aides/4831-aide-a-limmobilier-dentreprises/,True,,False,url not starting with http,"['http://www.cc-madetmoselle.fr/images/FR-MODIF.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/REGLEMENT-PLAN.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/REG-2020-2023.pdf']",True
"Promouvoir les paysages, les patrimoines et le tourisme du Grand Pic Saint-Loup",/aides/87dd-promouvoir-les-paysages-les-patrimoines-et-le/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf']",True
Développer l'entrepreneuriat et l'employabilité en Grand Pic Saint-Loup,/aides/6504-developper-lentrepreneuriat-et-lemployabilite/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf']",True
Améliorer la qualité de vie et la cohésion sociale en Grand Pic Saint-Loup,/aides/8d9a-ameliorer-la-qualite-de-vie-et-la-cohesion-so/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf']",True
Développer l'économie locale et l'innovation en Grand Pic Saint-Loup,/aides/168d-developper-leconomie-locale-et-linnovation-en/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf']",True
Préserver les ressources et l'environnement,/aides/f0ad-preserver-les-ressources-et-lenvironnement/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf']",True
Soutenir les investissements d’envergure en matière d’immobilier d’entreprise,/aides/c2b4-copie-08h34-accompagner-les-commerces-en-mili/,False,url not starting with http,False,url not starting with http,[],False
Être aidé pour un projet d'immobilier d'entreprise dans une zone d'activité,/aides/b83f-immobilier-dentreprise/,False,url changed to http://ccv2m.fr/,False,url not starting with http,[],False
Réussir la transition des territoires du grand Sud-Ouest : eau et agricultures,/aides/baff-copie-08h12-eceau-economie-circulaire-de-leau/,True,,True,,[],False
Favoriser l'émergence de projets intégrés de réutilisation des eaux - Appel à projets EC’EAU (Économie Circulaire de l’Eau),/aides/43d6-copie-10h28-renaturer-les-cours-deau-appel-a-/,True,,True,,"['http://eau-grandsudouest.fr/sites/default/files/2021-07/6402%20ADOUR%20AAP%20EC%27EAU%20REGLEMENT.pdf', 'http://eau-grandsudouest.fr/sites/default/files/2021-07/6402%20ADOUR%20AAP%20EC%27EAU%20REGLEMENT.pdf']",True
Créer et moderniser les ouvrages collectifs de traitement,/aides/7927-creation-et-modernisation-douvrages-collectif/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf']",True
Mettre en place des réseaux neufs de collecte et de transport d’eaux usées et des toilettes,/aides/bf93-mettre-en-place-des-reseaux-neufs-de-collecte/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
"Agir sur les réseaux d'assainissement : réhabilitation, mise en séparatif, création de collecteur de transfert et de maillage, partie publique des branchements",/aides/9f1f-reseaux-dassainissement-rehabilitation-mise-e/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Réduire les rejets polluants par temps de pluie en zone urbaine : autosurveillance,/aides/68ff-reduire-les-rejets-polluants-par-temps-de-plu/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Assurer l’approvisionnement public en eau potable,/aides/4384-assurer-lapprovisionnement-public-en-eau-pota/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Gérer la rareté de la ressource en eau et économiser l'eau potable,/aides/c6b8-gestion-de-la-rarete-de-la-ressource-en-eau-e/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Financer les travaux de suppression d’obstacles pour assurer la continuité écologique,/aides/ab0e-travaux-de-retablissement-de-la-continuite-ec/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Financement des travaux de dispositifs de franchissement pour assurer la continuité écologique,/aides/69f5-travaux-de-retablissement-de-la-continuite-ec/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Maintenir le bon état des eaux et de préservation des usages sensibles via la collecte et le traitement des eaux usées domestiques - étude,/aides/722b-etudes-generales-dassainissement/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Faire des études spécifiques des systèmes d'épuration,/aides/9963-etudes-specifiques-epuration/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Mettre en place des opérations pilotes d'assainissement,/aides/362c-operations-pilotes-assainissement/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Créer et moderniser les ouvrages collectifs de traitement,/aides/f440-creation-et-modernisation-douvrages-collectif/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Réhabiliter d’anciens sites d’épuration par épandage d'eaux usées brutes,/aides/caa7-rehabilitation-danciens-sites-depuration-par-/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Réaliser des travaux d'assainissement d'urgence,/aides/cd71-assainissement-travaux-durgence/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Déployer des études spécifiques aux réseaux d'assainissement,/aides/c403-etudes-specifiques-reseaux-dassainissement/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Mettre en place des réseaux neufs de collecte et de transport d’eaux usées et des toilettes permanentes sur le domaine public,/aides/81f6-reseaux-dassainissement-creation-de-reseaux-n/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Améliorer le système d’assainissement - animations,/aides/8c9a-animation/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
Réaliser des travaux d’urgence pour les réseaux d’assainissement,/aides/12c6-reseaux-dassainissement-travaux-durgence/,True,,True,,"['http://www.eau-seine-normandie.fr/sites/public_file/inline-files/NOTE%20PLAN%20DE%20RELANCE%20CA17nov-CB30nov2020_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Listing%20_pieces_justificatives_21122021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Fiche_pratique_V4_2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/OAM002-2021.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/11eme_Annexe_formulaire_INTERNATIONAL_0.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Guide_Utilisation_Demande_ETP_ANIMATION.pdf', 'http://www.eau-seine-normandie.fr/sites/public_file/inline-files/Titre_I.pdf']",True
