name,url,id,error_orig,type_error_orig,error_app,type_error_app,pdfs,pdf_avec_criteres
Être aidé financièrement à la prise en charge d'une partie du coût de l'adhésion aux activités associatives pontoises,/aides/b05c-beneficier-du-coupon-sport/,119871,False,url not starting with http,False,url not starting with http,[],False
Favoriser l'accès au sport et à la culture,/aides/954d-favoriser-lacces-au-sport-et-a-la-culture/,119865,True,,False,url not starting with http,['http://www.annoeullin.fr/sites/default/files/2022-05/TU%20DE%20MAI.pdf'],True
Aider financièrement les familles villefranchoises pour l'accès aux loisirs extra-scolaires des enfants,/aides/f0b6-bourse-aux-loisirs-extra-scolaire/,119876,False,url not starting with http,False,url not starting with http,[],False
Aider financièrement les enfants fougerais à s'inscrire à une activité sportive ou culturelle,/aides/e77d-coup-de-pouce-sports-et-culture/,119875,False,url not starting with http,False,url not starting with http,[],False
Être aidé pour financer l'inscription à une pratique sportive (licence),/aides/0b38-passsport-club-de-la-ville-de-poissy/,119861,True,,False,url not starting with http,[],False
"Favoriser l'accès des jeunes aux activités culturelles, sportives, de loisirs et séjours linguistiques",/aides/3b25-favoriser-lacces-des-jeunes-aux-activites-cul/,119857,False,url not starting with http,False,url not starting with http,[],False
"Créer un agrégateur territorial à La Rochelle et une coopérative locale permettant d’évaluer, vérifier et garantir les réductions de la consommation énergétique - AGREMOB",/aides/7ee8-creer-un-agregateur-territorial-a-la-rochelle/,58338,False,url not starting with http,False,url not starting with http,[],False
Bénéficier d'un coupon de réduction pour s'inscrire à une activité associative sportive (licence),/aides/93df-coup-sport-et-culture/,119858,False,url not starting with http,False,url not starting with http,[],False
Aider financierèment  la prise en charge de la 1ère licence,/aides/12d1-aider-financierement-la-prise-en-charge-de-la/,119856,False,url changed to http://www.delle.fr/,False,url not starting with http,[],False
Être aide pour financer l'inscription à un club sportif local (licence),/aides/f6c3-cesam-sport/,119863,True,,True,,[],False
Être aidé financièrement pour payer les frais de licence ou d'adhésion à une association,/aides/4595-passloisirs/,119870,False,url not starting with http,False,url not starting with http,[],False
Participer au financement d'une licence de sport ou à l'inscription à une association d'un enfant,/aides/ae60-dispositif-culture-sports-loisirs/,119877,False,url not starting with http,False,url not starting with http,[],False
Financer vos projets dans le domaine des éco-industries,/aides/8596-financer-vos-projets-dans-le-domaines-des-eco/,119655,True,,True,,"['https://business.nicecotedazur.org/wp-content/uploads/2022/05/CAHIER-DES-CHARGES-ECOINDUSTRIES.pdf', 'https://business.nicecotedazur.org/wp-content/uploads/2022/05/CAHIER-DES-CHARGES-ECOINDUSTRIES.pdf']",True
Améliorer les connaissances sur la qualité de l’air du territoire - AAP Recherche qualité de l'air,/aides/9bc9-aap-recherche-qualite-de-lair/,119853,True,,False,url not starting with http,"['https://ccpmb.fr/wordpress/../uploads/2022/06/Annexe-2-Formulaire-CERFA-pour-les-associations.pdf', 'https://ccpmb.fr/wordpress/../uploads/2022/06/Appel-à-projets_Recherche-Air_CCPMB.pdf']",True
Réduire les émissions de polluants atmosphériques des entreprises - Fonds Air Entreprise,/aides/5949-reduire-les-emissions-de-polluants-atmospheri/,55533,True,,False,url not starting with http,[],False
Changer le comportement des usagers grâce à la création d’un compte individuel de mobilité décarbonée - ECO_MODE,/aides/cd9e-changement-comportemental-des-usagers-grace-a/,58383,False,url not starting with http,False,url not starting with http,[],False
Aide à la création et au développement d'entreprises,/aides/b4d6-aie-a-la-creation-et-au-developpement-dentrep/,98912,True,,False,url not starting with http,"['http://www.cc-madetmoselle.fr/images/Documents/REG-2020-2023.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/REGLEMENT-PLAN.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/ZRR.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/PLAN-ECONOMIE-1.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/IMO-57.pdf', 'http://www.cc-madetmoselle.fr/images/FR-MODIF.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/IMO-54.pdf']",True
Aide au développement numérique,/aides/a0bf-aide-au-developpement-numerique/,98913,True,,False,url not starting with http,"['http://www.cc-madetmoselle.fr/images/Documents/REG-2020-2023.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/REGLEMENT-PLAN.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/ZRR.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/PLAN-ECONOMIE-1.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/IMO-57.pdf', 'http://www.cc-madetmoselle.fr/images/FR-MODIF.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/IMO-54.pdf']",True
Développer la chaleur renouvelable sur le territoire de la Métropole de Lyon (aide à la décision) - Prime éco-chaleur,/aides/bf5f-prime-eco-chaleur-aide-a-la-decision/,102098,True,,False,Status 404,[],False
Développer la chaleur renouvelable sur le territoire de la Métropole de Lyon (aide aux travaux) - Prime éco-chaleur,/aides/9ae9-prime-eco-chaleur-aide-aux-travaux/,102099,True,,False,Status 404,[],False
Accompagner les commerces en milieu rural (ACCOR),/aides/cb85-dispositif-daccompagnement-des-commerces-en-m/,111692,False,url not starting with http,False,url not starting with http,[],False
Soutenir les projets contribuant au développement du territoire de l'Argonne Ardennaise,/aides/b668-soutenir-les-projets-contribuant-au-developpe/,111688,True,,False,url not starting with http,[],False
Favoriser l'installation de jeunes agriculteurs,/aides/09d9-aide-a-linstallation-jeunes-agriculteurs/,42867,False,url not starting with http,False,url not starting with http,[],False
Installer des chauffages à énergie renouvelable,/aides/61ad-aide-financiere-aux-installations-de-chauffag/,42871,False,Status 404,False,url not starting with http,[],False
Développer des projets agricoles en Seine Aval,/aides/b488-developpement-agricole-en-seine-aval/,44204,False,url not starting with http,True,,[],False
Aider à l'acquisition de véhicules propres,/aides/98ed-dispositif-daide-a-lacquisition-de-vehicules-/,58391,False,url not starting with http,False,url not starting with http,[],False
Financer la préservation du patrimoine naturel,/aides/9c6e-aider-au-financement-du-patrimoine-naturel/,58398,False,url not starting with http,False,url not starting with http,[],False
Réaliser la rénovation énergétique de mon logement principal,/aides/6a87-realiser-la-renovation-energetique-de-mon-log/,69762,True,,False,url changed to https://www.toulouse-metropole.fr/-/aide-a-la-renovation-energetique-des-logements-prives,['https://deliberations.toulouse.fr/data/archive/20201023_DELIBERATION_DEL-20-0602.pdf'],True
Apporter une aide directe aux entreprises,/aides/ced5-aides-directes-aux-entreprises/,92940,False,url not starting with http,False,url not starting with http,[],False
Financer l'investissement productif,/aides/2910-aides-a-linvestissement-productif/,93324,True,,False,url not starting with http,"['http://ccv2m.fr/wp-content/uploads/2019/12/tableau-V2M.pdf', 'http://ccv2m.fr/wp-content/uploads/2021/05/Reglement-interieur-CCV2M-1.pdf', 'http://ccv2m.fr/wp-content/uploads/2015/05/diagnostic_agricole_foncier.pdf', 'http://ccv2m.fr/wp-content/uploads/2015/05/AET_reglement.pdf']",True
Investir dans l'immobilier d'entreprises,/aides/2faa-investir-dans-limmobilier-dentreprises/,97595,False,url not starting with http,False,url not starting with http,[],False
Promouvoir les circuits courts qualitatifs,/aides/6697-circuit-courts-qualitatifs/,98588,False,url changed to https://www.paysvichyauvergne.com/contenu/fck/Vichy_FA1_Ville-Campagne_VF_15%20juin%202016(2).pdf,False,url not starting with http,[],False
ECO Pulse Investissement,/aides/509b-eco-pulse-investissement/,98860,False,Status 404,False,Status 404,[],False
Soutenir l'investissement en immobilier des entreprises dans le cadre d'une création ou extension d'activité,/aides/4831-aide-a-limmobilier-dentreprises/,98911,True,,False,url not starting with http,"['http://www.cc-madetmoselle.fr/images/Documents/REG-2020-2023.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/REGLEMENT-PLAN.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/ZRR.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/PLAN-ECONOMIE-1.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/IMO-57.pdf', 'http://www.cc-madetmoselle.fr/images/FR-MODIF.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/IMO-54.pdf']",True
"Promouvoir les paysages, les patrimoines et le tourisme du Grand Pic Saint-Loup",/aides/87dd-promouvoir-les-paysages-les-patrimoines-et-le/,103820,True,,False,url not starting with http,[],False
Développer l'entrepreneuriat et l'employabilité en Grand Pic Saint-Loup,/aides/6504-developper-lentrepreneuriat-et-lemployabilite/,103821,True,,False,url not starting with http,[],False
Améliorer la qualité de vie et la cohésion sociale en Grand Pic Saint-Loup,/aides/8d9a-ameliorer-la-qualite-de-vie-et-la-cohesion-so/,103822,True,,False,url not starting with http,[],False
Développer l'économie locale et l'innovation en Grand Pic Saint-Loup,/aides/168d-developper-leconomie-locale-et-linnovation-en/,103823,True,,False,url not starting with http,[],False
Préserver les ressources et l'environnement,/aides/f0ad-preserver-les-ressources-et-lenvironnement/,103824,True,,False,url not starting with http,[],False
Soutenir les investissements d’envergure en matière d’immobilier d’entreprise,/aides/c2b4-copie-08h34-accompagner-les-commerces-en-mili/,111731,False,url not starting with http,False,url not starting with http,[],False
Être aidé pour un projet d'immobilier d'entreprise dans une zone d'activité,/aides/b83f-immobilier-dentreprise/,112012,False,url changed to http://ccv2m.fr/,False,url not starting with http,[],False
Aide au commerce et à l'artisanat avec point de vente,/aides/a045-aide-au-commerce-et-a-lartisanat-avec-point-d/,116954,False,url not starting with http,False,url not starting with http,[],False
Développer les mobilités douces - Fonds de concours pour le SDIC (Schéma d’aménagement des itinéraires cyclables),/aides/1d4b-fonds-de-concours-pour-le-sdic-schema-damenag/,119690,True,,True,,[],False
Développer les infrastructures de mobilité - Fonds de concours,/aides/e6eb-copie-08h22-fonds-de-concours-pour-le-sdic-sc/,119691,True,,True,,[],False
Développer la construction de passerelles - Fonds de concours,/aides/d668-copie-08h28-fonds-de-concours-pour-le-sdic-sc/,119692,True,,True,,[],False
Développer les chemins de randonnée - Fonds de concours,/aides/0914-copie-08h30-fonds-de-concours-pour-la-constru/,119693,True,,True,,[],False
Développer des aires de covoiturage,/aides/5e6e-copie-08h34-fonds-de-concours-pour-les-chemin/,119694,True,,False,url not starting with http,[],False
Améliorer la gestion des eaux pluviales - Fonds de concours,/aides/edeb-copie-08h36-fonds-de-concours-pour-les-aires-/,119695,True,,True,,[],False
Rénover le patrimoine exceptionnel,/aides/1439-copie-08h37-fonds-de-concours-pour-la-gestion/,119696,True,,False,url not starting with http,[],False
Développer la construction de bâtiments commerciaux multiservices dans les centre-bourgs - Fonds de concours,/aides/6900-copie-08h38-fonds-de-concours-pour-la-renovat/,119697,True,,True,,[],False
Prendre une licence sportive,/aides/6af6-aide-a-la-prise-de-licence-sportive/,119717,False,url changed to https://www.agglo-henincarvin.fr/,False,url changed to https://www.agglo-henincarvin.fr/,[],False
"Favoriser la création, le développement d'entreprises et d'emplois - aide à l'immobilier d'entreprise",/aides/224b-aide-a-limmobilier-dentreprise/,119872,False,url not starting with http,False,url not starting with http,[],False
Créer et moderniser les ouvrages collectifs de traitement,/aides/7927-creation-et-modernisation-douvrages-collectif/,73948,False,url changed to https://www.eau-seine-normandie.fr/programme_eau_climat_seine_normandie,False,url changed to https://www.eau-seine-normandie.fr/programme_eau_climat_seine_normandie,[],False
Mettre en place des réseaux neufs de collecte et de transport d’eaux usées et des toilettes,/aides/bf93-mettre-en-place-des-reseaux-neufs-de-collecte/,73950,False,url changed to https://www.eau-seine-normandie.fr/programme_eau_climat_seine_normandie,False,url changed to https://www.eau-seine-normandie.fr/formulaires_aides,[],False
"Agir sur les réseaux d'assainissement : réhabilitation, mise en séparatif, création de collecteur de transfert et de maillage, partie publique des branchements",/aides/9f1f-reseaux-dassainissement-rehabilitation-mise-e/,73951,False,url changed to https://www.eau-seine-normandie.fr/programme_eau_climat_seine_normandie,False,url changed to https://www.eau-seine-normandie.fr/formulaires_aides,[],False
